names,n
débora,22
déborah,330
délia,45
délice,36
délio,2
délizia,2
dénis,3
déniz,1
désiré,876
désirée,205
dévy,1
dîna,1
e'ouann,1
earl,949
earvin,233
eban,446
eben,82
eben-ezer,5
ebene,3
ebenezer,86
eberhard,517
ebony,11
ebrahim,568
ebru,51
ebtissem,11
ebubekir,2
ecaterina,28
ecem,8
ecrin,20
edan,6
edana,5
edda,138
eddi,12
eddie,3419
eddine,207
eddy,4275
edek,3
edel,104
edeline,34
edeltraud,5
edelweiss,8
edem,75
eden,2023
edena,1
eder,152
edern,29
ederson,75
edgar,15652
edgard,1912
edge,5
edhen,2
edie,120
edilbert,1
edilson,12
edin,75
edina,50
edine,3
edinson,561
edir,69
edis,14
edison,1532
edita,154
edite,8
edith,6918
edma,27
edmar,19
edmard,2
edme,83
edmilson,137
edmon,18
edmond,14261
edmonde,838
edmone,2
edmont,6
edmund,2781
edmundo,206
edmée,164
edna,373
edoardo,366
edon,13
edouard,45561
edouardine,1
edouardo,100
edouart,1
edric,2
edris,15
edriss,1
edson,187
eduard,492
eduarda,8
eduardo,5483
edurne,25
edvard,480
edvin,9
edward,12174
edwart,8
edwidge,7
edwig,10
edwige,1483
edwin,1787
edwina,126
edwine,14
edwing,1
edwy,1656
edwyn,39
eeva,14
effie,42
effy,6
efisio,13
efkan,22
efraim,79
egan,312
egemen,5
egide,36
egidio,107
eglantine,152
egle,5
egon,1290
egor,765
egyptienne,14
egzon,1
ehab,13
ehouarn,2
ehsan,86
eidel,3
eiji,137
eileen,509
einar,170
einat,8
eirik,76
eitan,63
eithan,1
ekain,5
ekaitz,4
ekaterina,582
ekhi,1
ekin,2
ekram,5
ekrame,2
ekrem,91
el-amine,1
el-hadi,1
el-hadj,21
el-hadji,42
elad,30
eladio,39
elaia,1
elain,15
elaine,512
elais,1
elamine,1
elan,52
elana,21
elano,14
elaura,3
elay,2
elazar,80
elaïs,1
elba,90
elcin,2
elda,33
eldar,33
elder,32
eldi,3
eldin,18
eldine,2
eldrick,8
elea,14
eleana,3
eleanna,4
eleanor,558
eleanore,12
eleazar,81
elektra,5
elem,51
elen,57
elena,4246
elene,26
eleni,164
elenie,5
elenore,1
eleonor,41
eleonora,164
eleonore,53
elettra,32
eleuthere,4
eley,11
elfi,29
elfie,9
elfride,6
elfried,3
elfriede,511
elfy,7
elga,26
elhad,2
elhadi,3
elhadj,33
elhadji,15
elham,74
elhanan,36
elia,1316
eliacin,5
eliad,5
eliah,3
eliahou,78
eliakim,34
eliam,1
elian,573
eliana,59
eliane,2265
elianna,1
elianne,2
eliaou,3
eliaquim,75
eliard,1
elias,2606
eliav,16
eliaz,10
elicia,2
elida,19
elide,1
elie,7151
eliel,31
elien,6
elies,11
eliesse,3
eliette,180
eliezer,171
elif,96
elife,15
elifsu,2
elija,2
elijah,285
elika,9
elikia,68
elikya,1
elimane,22
elin,84
elina,408
elinda,2
eline,54
elinor,118
elinore,4
elio,1294
elior,3
eliora,2
elios,59
eliot,897
eliott,273
elis,139
elisa,945
elisabet,24
elisabeta,31
elisabete,10
elisabeth,24155
elisabetha,5
elisabetta,214
elisaveta,4
elise,2639
eliseo,97
elisha,71
elisheva,5
elisio,42
eliska,8
elissa,86
elisé,3
elisée,197
elita,9
eliya,12
eliyah,1
eliyahou,10
eliza,146
elizabet,4
elizabeta,1
elizabete,2
elizabeth,10293
elizaveta,54
elize,7
elizia,1
eliès,18
eliézer,26
elke,164
ella,993
ellan,1
ellana,1
ellea,6
ellen,2117
ellena,9
elli,146
ellia,4
ellian,2
elliana,1
elliane,2
ellie,92
ellina,3
ellinor,12
ellio,2
elliot,712
elliott,921
ellis,328
ellora,4
elly,133
ellyes,12
ellyn,3
elma,28
elmas,8
elmedina,2
elmina,10
elmir,3
elmira,5
elmire,138
elmo,89
elna,6
elno,2
eloa,1
eloan,8
eloane,1
elodia,1
elodie,2007
elody,11
elodye,1
eloe,1
eloha,6
elohim,46
eloi,745
elois,3
eloisa,7
eloise,16
elon,236
elona,3
elora,28
eloria,4
elorri,3
elouan,10
elouise,16
eloy,233
eloya,1
eloyse,29
eloïc,21
eloïne,2
eloïs,2
eloïse,137
elphege,1
elric,7
elrick,31
elrik,3
elroy,5
elsa,4567
else,89
elsi,7
elsia,2
elsie,143
elso,6
elson,8
elsy,14
elton,1191
elva,13
elvan,22
elvedin,4
elven,1
elvia,18
elvie,5
elvin,444
elvina,19
elvino,1
elvio,12
elvir,17
elvira,529
elvire,637
elvis,3149
elwan,1
elwin,4
elwis,1
elwyn,23
elwynn,1
elya,22
elyah,1
elyahou,13
elyakim,54
elyamine,11
elyan,1
elyana,1
elyane,33
elyas,11
elyaz,2
elyazid,1
elye,5
elyes,96
elyesa,2
elyess,1
elyette,9
elyn,1
elyne,7
elyo,2
elyot,8
elysabeth,32
elyse,25
elysia,5
elyssa,3
elyès,93
elza,102
elzbieta,143
elzear,1
elzeard,1
elzie,4
elzéar,7
eléa,25
eléanore,2
eléna,71
eléonor,20
eléonora,16
eléonore,658
emad,283
eman,54
emane,24
emanuel,554
emanuela,53
emanuele,284
emanuella,5
emanuelle,16
embarek,23
embarka,1
emel,38
emelia,4
emelie,22
emelina,2
emeline,223
emely,1
emelyn,2
emelyne,31
emerance,4
emerence,8
emerentienne,1
emeric,393
emerick,16
emerik,2
emerson,1074
emery,203
emerys,9
emidio,34
emie,10
emiko,34
emil,1709
emila,3
emiland,1
emile,15938
emili,43
emilia,461
emilian,18
emiliana,28
emiliano,589
emilie,4545
emilie-anne,2
emilie-marie,1
emilien,521
emilienne,198
emilija,6
emiline,1
emilio,2593
emilion,4
emille,6
emilly,2
emily,1814
emilya,1
emin,217
emina,24
emine,129
eminé,1
emir,767
emira,7
emirhan,3
emlyn,22
emma,4848
emma-jane,1
emma-lou,1
emmannuelle,8
emmanuel,92445
emmanuel-marie,6
emmanuela,10
emmanuele,75
emmanuella,14
emmanuelle,9022
emmanuèle,244
emmaus,23
emme,66
emmelie,6
emmeline,97
emmerick,1
emmett,174
emmi,12
emmie,19
emmy,154
emmy-lou,2
emmylou,115
emna,138
emouna,5
emrah,1
emran,2
emre,89
emric,1
emrullah,4
emry,2
emrys,17
emyr,49
emélia,1
emélie,1
emérance,1
enak,39
enaut,1
encarnacion,16
enda,305
ender,7
endi,4
endri,17
endy,67
enea,56
eneko,49
eneo,1
eneric,1
enes,33
engel,245
engelbert,69
engracia,11
enguerran,20
enguerrand,112
engy,1
enia,3
enid,155
enide,13
enimie,1
enio,11
eniola,1
enis,39
enisa,5
enji,2
enki,514
ennemond,14
ennemonde,2
ennerick,2
ennio,542
ennis,10
enoc,9
enoch,210
enock,19
enogate,2
enola,11
enora,49
enric,152
enrica,51
enrichetta,2
enrick,5
enrico,3856
enrik,12
enrika,2
enrique,3559
enriqueta,12
enry,1
ensar,1
enso,19
envel,1
enver,1209
enya,20
enza,60
enzio,27
enzo,1871
eoghan,7
eole,6
ephraim,75
ephram,6
ephraïm,386
ephrem,44
epiphane,41
epiphanie,6
epona,7
eponine,5
eraldo,17
eran,140
erasme,15
erasmo,34
eray,8
ercan,35
ercole,144
erda,75
erdal,105
erdem,88
erdinc,6
erel,2
erell,18
eren,45
erez,302
ergin,8
ergun,3
erhan,27
erhard,3185
eric,78727
eric-olivier,3
erica,399
erich,3079
erick,833
ericka,212
erickson,5
erico,26
ericson,23
eridan,2
erik,5830
erika,1085
erim,31
erin,602
erina,9
erine,18
erinn,1
erion,3
eris,52
erivan,6
erkam,2
erkan,31
erkin,50
erkut,3
erland,108
erle,40
erman,40
ermando,4
ermano,24
ermelinda,3
ermeline,4
ermenegildo,137
ermes,4
ermin,9
ermina,2
ermine,6
erminia,5
erminie,1
erminio,28
erna,296
ernes,1
ernest,7859
ernesta,18
ernestina,28
ernestine,147
ernesto,3334
erno,68
ernst,6175
erol,128
eron,4
eros,281
errol,723
ersan,4
ersen,1
ersin,52
ertan,1
ertugrul,25
ervan,2
erven,1
ervin,153
erwan,1507
erwane,4
erwann,301
erwen,17
erwin,1101
erwing,2
eryck,12
eryk,17
eryka,1
erykah,107
eryn,7
erza,18
esad,7
esai,15
esat,15
esaïe,19
esdras,14
esen,4
eser,9
eshan,1
esin,5
eskander,4
eslem,1
esma,57
esmael,10
esmail,30
esmanur,6
esme,10
esmeralda,258
esmé,23
esmée,5
esméralda,51
esperance,1
esperanza,111
esra,58
esraa,13
esref,9
essaid,4
essam,200
essia,59
esteban,868
estebe,5
estee,10
estefania,25
estel,3
estela,87
estele,1
estella,72
estelle,1489
estellia,3
ester,170
estera,6
esterina,30
estevan,4
estevao,3
esteve,40
esthelle,1
esther,2306
estienne,386
estrela,11
estrella,89
estèle,1
estève,112
estéban,12
estée,367
etan,37
etel,63
etelvina,8
ethan,1017
ethane,2
ethann,1
ethel,491
ethem,28
etienette,1
etienne,16920
etienne-marie,4
etiennette,14
ettore,1420
etty,117
euan,73
eucharis,4
eude,7
eudeline,6
eudes,136
eudora,200
eudore,5
eudoxie,48
eugene,1281
eugenia,163
eugenie,72
eugenio,1155
eugeniusz,55
eugène,11316
eugénia,14
eugénie,1104
eulalia,20
eulalie,45
euloge,49
eunice,671
eunyce,3
euphrase,2
euphrasie,8
euphrosine,5
euphémie,3
euranie,3
eureka,3
eurico,65
euridice,4
euriel,1
eurielle,1
euryale,3
eurydice,396
eusebe,6
eusebio,166
eustache,523
eustase,5
eutrope,4
euzhan,80
eva-lou,2
eva-louise,1
eva-maria,41
eva-marie,21
evan,1428
evana,2
evane,32
evangelia,38
evangelina,9
evangeline,34
evangelos,256
evangéline,27
evann,9
evanna,1
evanne,1
evans,980
evariste,435
evaristo,90
eve-marie,14
evelia,4
evelin,8
evelina,27
eveline,219
evelise,1
evely,1
evelyn,884
evelyne,4283
evelyse,1
even,105
evence,24
evenor,2
evens,5
evenson,4
ever,41
everly,7
everson,12
evette,2
evgueni,3295
evie,78
evina,1
evine,1
evita,461
evode,2
evrard,87
evren,2
evrim,2
ewald,215
ewan,317
ewann,4
ewans,2
ewen,124
ewenn,6
ewilan,2
exauce,3
exaucé,1
exoce,1
expedit,7
expédit,3
eyad,53
eyal,243
eylan,1
eylem,5
eylia,1
eylon,2
eyma,4
eymard,24
eymen,3
eymeric,12
eyna,2
eytan,335
eyub,5
eyup,24
eyyub,14
ezan,6
ezechias,4
ezechiel,23
ezekiel,113
ezequiel,245
ezer,375
ezgi,4
ezia,1
ezio,395
ezra,1011
ezzeddine,44
ezzedine,552
ezzio,4
ezéchiel,148
ezéquiel,9
fabbio,3
fabia,13
fabian,845
fabiana,67
fabiano,105
fabien,9946
fabiene,1
fabienne,4803
fabio,2795
fabiola,419
fabriano,18
fabrice,12511
fabricia,1
fabricio,78
fabrina,2
fabrizia,26
fabrizio,940
fabrizzio,17
fabyan,2
fadel,260
fadela,958
fadella,2
faden,3
fadette,21
fadhel,157
fadhela,3
fadhil,35
fadhila,38
fadi,237
fadia,79
fadil,58
fadila,174
fadilla,2
fadime,5
fadl,45
fadma,7
fadoua,38
fadwa,117
fady,45
fadéla,20
faelan,1
faeza,1
fafa,91
fahad,134
fahardine,2
fahd,1074
fahed,34
fahem,16
fahid,8
fahim,124
fahima,5
fahmi,51
fahra,4
fahrettin,54
fahri,91
fahrid,6
fahriye,1
faical,1
faicel,4
faid,5
faida,1
faik,24
faina,41
fairouz,11
faisa,1
faisal,208
faissal,3
faith,132
faiz,97
faiza,62
faizah,2
faizal,29
faizan,4
faiçal,26
faker,14
fakher,9
fakhri,75
faki,17
fakir,50
fakri,5
falak,12
falco,212
falikou,4
falilou,2
fallon,111
fallone,2
fallou,22
falone,1
falou,1
faly,3
fama,16
famara,15
fanch,58
fanchette,12
fanchon,34
fanelie,2
fanely,6
fanette,51
fani,50
fania,105
fanida,1
fanie,23
fanja,5
fannette,10
fanni,60
fannie,667
fanny,4298
fanny-laure,1
fano,29
fanta,247
fantin,94
fantine,123
fanuel,4
fany,37
fanya,1
fanélie,33
faousi,1
faouza,1
faouzi,478
faouzia,95
faouzy,1
fara,46
farah,276
faras,5
farda,4
fardi,2
fared,3
farel,18
farell,7
faren,1
fares,63
faresse,1
farez,3
farha,7
farhad,390
farhan,80
farhana,9
farhane,2
farhat,141
faria,79
farid,2432
farida,792
faridah,7
faride,30
fariha,3
farik,8
farima,4
faris,64
fariz,6
fariza,1
farouck,5
faroudja,2
farouk,2029
farouq,22
farrah,86
farrel,21
farrell,76
farrid,2
faruk,152
faryal,9
farzana,23
farès,530
farés,1
fasia,2
fatah,64
fateh,76
fateha,1
fatema,18
fatema-zahra,2
fatemah,14
faten,40
fath,481
fatha,8
fathallah,59
fathi,371
fathia,85
fathira,2
fathma,3
fathy,41
fati,52
fatia,33
fatiah,3
fatih,536
fatiha,365
fatila,1
fatim,38
fatim-zahra,1
fatim-zohra,3
fatima,1311
fatima-ezzahra,3
fatima-zahra,4
fatima-zohra,9
fatimah,22
fatimata,105
fatimatou,2
fatime,11
fatimetou,3
fatimé,6
fatin,14
fatina,2
fatine,10
fatirah,2
fatiya,4
fatma,633
fatma-zohra,6
fatmata,3
fatmir,130
fatna,69
fatoma,1
fatos,216
fatou,934
fatoum,2
fatouma,29
fatoumata,405
fattah,29
fattouma,5
fatumata,3
faty,20
fatym,6
fatéma,24
faudel,360
faudil,1
faust,507
fausta,108
fauste,1
faustin,424
faustina,24
faustine,293
faustino,115
fausto,1613
fauve,23
fauvette,8
fauzi,8
fauzia,5
favien,18
favio,5
favour,3
fawaz,188
fawzi,477
fawzia,113
fawzy,24
fayad,13
fayaz,10
faycal,64
faycel,1
fayda,4
faye,589
fayed,43
fayez,134
fayiz,2
fayrouz,3
faysa,1
faysal,58
fayssal,22
fayz,1
fayza,30
fayçal,2607
fazal,57
fazia,17
fazil,30
fazila,1
fazilet,32
fazli,9
faïda,2
faïna,2
faïrouz,1
faïz,17
faïza,120
faïçal,5
federica,906
federico,3444
fedi,1
fedia,5
fedor,289
fedora,27
fedoua,1
feeling,17
fehd,3
fehim,14
fehmi,59
feirouz,2
feiza,1
fela,763
felia,4
felice,635
felicia,156
feliciana,3
feliciano,179
felicidad,15
felicidade,16
felicien,1
felicita,15
felicity,303
felina,4
feline,4
felipa,4
felipe,5560
felis,4
felisa,53
felisbela,1
felix,2281
feliz,12
fella,13
fellah,16
femi,74
fenella,4
feodor,79
feras,14
ferat,6
ferda,18
ferdaous,5
ferdaws,2
ferdi,106
ferdinand,4816
ferdinande,1
ferdinando,211
ferdine,1
ferdy,34
ferenc,653
feres,8
fergal,28
fergus,109
ferhat,1853
ferial,5
ferid,107
ferida,1
feride,1
feriel,18
ferielle,1
ferit,35
fermin,117
fermina,64
fernand,9709
fernanda,272
fernande,482
fernandez,893
fernandine,1
fernando,9747
feroudja,1
ferouze,5
ferreol,6
ferrer,487
ferrier,210
ferroudja,16
ferruccio,213
ferrucio,78
ferréol,47
feruccio,17
feryal,3
feryel,1
fetah,1
feten,2
fethi,265
fethia,2
fethy,1
fetiha,1
fetta,4
fettah,64
fevzi,11
feycal,2
feyyaz,1
feyza,1
fiacre,21
fiana,3
fida,19
fidan,47
fidel,12123
fidele,5
fidelia,2
fideline,2
fidelio,597
fidelis,13
fides,4
fidy,1
fidéline,6
fifi,292
figen,30
fikret,145
fikri,33
fili,17
filip,592
filipa,14
filipe,271
filipo,29
filippa,60
filippe,6
filippo,1014
filiz,14
filly,1
filomena,17
filomene,3
fily,54
fina,199
finda,2
finlay,68
finley,94
finn,395
fiona,1322
fionna,11
fiora,10
fioravanti,17
fiorella,71
fiorenza,48
fiorenzo,62
fiorina,21
fiorino,4
firas,151
firat,20
firdaous,2
firdaws,3
firdevs,2
firma,2
firmin,735
firmine,56
firmino,41
firouz,35
firouze,1
firoza,3
fitzgerald,791
flamine,2
flaminia,30
flaubert,6424
flavia,261
flavian,6
flaviana,3
flavie,133
flavien,408
flavienne,1
flavine,4
flavio,946
flavius,277
flavy,2
fletcher,338
fleuret,113
fleurette,16
fleurian,4
fleurine,13
flor,149
flora,795
floran,44
florane,1
florant,5
florbela,6
flore,262
flore-anne,1
floreal,27
florelle,54
florena,1
florence,14245
florence-marie,13
florencia,60
florencio,130
florent,5764
florentin,572
florentina,5
florentine,51
florentino,484
florenza,3
florenzo,1
flores,91
florestan,54
florestine,6
florette,11
floria,90
florian,5645
floriana,20
floriane,145
florianne,5
floriano,28
floribert,73
florica,17
floricia,1
florie,50
florien,5
florient,8
florimond,211
florimont,6
florin,249
florina,26
florinda,30
florindo,14
florine,53
florio,240
floris,102
florise,6
florita,2
florius,2
florus,19
flory,77
florys,2
floryse,1
floréal,25
flossie,5
floyd,734
flynn,72
foad,14
fode,29
fodel,1
fodhil,3
fodie,16
fodil,68
fodié,1
fodé,385
folco,119
fong,30
forest,232
forlan,59
forrest,70
fortunat,37
fortunata,16
fortunato,112
foster,1595
fotini,7
fouad,2942
fouade,1
foucaud,30
foucauld,325
foucault,2896
foudil,28
foued,241
fouhad,36
fouhed,2
fouley,2
foulques,37
foune,2
founé,15
fousseni,5
fousseny,1
fousseyni,45
fousseynou,4
fouzi,37
fouzia,112
fouziha,1
fouziya,16
framboise,284
franca,291
france-marie,5
francel,3
francelin,1
franceline,12
francelyne,10
francelyse,1
frances,1192
francesca,1874
francesco,5874
francescu,12
francette,187
franchesca,2
francia,251
franciane,7
francie,10
francile,1
francilia,21
francina,5
francine,2605
francis,37458
francisca,110
francisco,5604
francise,2
franciska,1
francisque,1105
franciszek,81
franciszka,2
franck,22475
franck-emmanuel,13
franck-olivier,8
franckie,36
francklin,18
francky,136
francois,695
francois-xavier,20
francoise,75
francy,11
frank,17342
franka,51
franki,15
frankie,793
franklin,2388
frankline,3
franko,46
franky,107
franny,42
frans,1403
fransisco,12
frantz,1350
franz,8279
franziska,279
franzy,5
françine,2
françis,162
françois,313117
françois-alexandre,6
françois-andré,18
françois-antoine,11
françois-charles,85
françois-david,16
françois-dominique,8
françois-emmanuel,5
françois-eric,28
françois-frédéric,87
françois-gabriel,5
françois-guillaume,31
françois-henri,1003
françois-jean,21
françois-joseph,657
françois-julien,12
françois-louis,111
françois-marie,1346
françois-michel,330
françois-nicolas,21
françois-noël,177
françois-olivier,113
françois-paul,20
françois-philippe,28
françois-pierre,24
françois-regis,2
françois-rené,316
françois-robert,9
françois-régis,548
françois-victor,39
françois-xavier,2620
françois-yves,12
françoise,31926
françoise-marie,48
fred,9870
freda,110
freddi,7
freddie,1751
freddy,1640
frederic,580
frederica,79
frederich,8
frederick,1770
fredericka,1
fredericke,4
frederico,145
frederik,1512
frederika,113
frederike,19
fredi,100
fredie,6
fredj,12
fredo,113
fredrick,73
fredrik,496
fredy,172
freeman,341
frejus,2
freya,121
freyja,7
frida,965
fridolin,19
frieda,200
friede,49
friedrich,2897
fritz,4638
fructueux,8
frumence,5
fryderyk,1
frédy,42
frédéric,45823
frédéric-françois,2
frédérica,18
frédérick,952
frédérico,7
frédérik,155
frédérika,23
frédérique,4555
fuad,28
fuat,46
fulbert,518
fulberte,1
fulcrand,1
fulgence,208
fulgencio,165
fulvia,22
fulvio,258
fulya,10
funda,1
furcy,13
furkan,4
fynn,1
félice,73
félicia,196
félicie,180
félicien,1177
félicienne,16
félix,10714
férial,12
fériel,24
gabby,78
gabi,243
gabie,3
gabin,1190
gabor,534
gabriel,18452
gabriel-marie,21
gabriela,871
gabriele,1098
gabriella,555
gabrielle,3357
gabrièle,31
gaby,956
gael,321
gaela,1
gaele,5
gaelle,52
gaetan,100
gaetana,3
gaetane,5
gaetano,617
gagik,11
gaguik,22
gaia,37
gaid,2
gaidig,1
gail,544
gaitan,28
gaizka,27
galaad,50
galadriel,10
galatée,64
galdric,2
galen,39
galia,165
galien,161
galina,806
galip,22
galit,5
galith,3
galla,46
gallen,2
gallia,69
galliane,1
gallien,95
gally,34
galvin,30
gamal,1629
gamaliel,18
gamel,5
gamil,15
gamliel,7
gamze,4
ganaël,8
ganaëlle,2
gandhi,3503
ganesh,280
gani,71
gania,8
gaoussou,43
gara,210
garaba,2
garabed,6
garabet,5
garan,3
garance,188
garba,91
garbis,15
garcia,2647
garcin,218
garence,1
gareth,1113
gari,53
garik,10
garion,6
garip,7
garis,1
garlone,5
garo,110
garris,1
garry,1796
garvey,24
gary,6359
gaspar,505
gaspard,2365
gaspare,64
gaston,17836
gastone,38
gastonia,1
gata,54
gatien,80
gatienne,2
gatta,10
gaud,30
gaultier,254
gauthier,1043
gautier,1385
gauvain,111
gauvin,26
gavin,1047
gavina,5
gavino,43
gavriel,19
gavroche,401
gaya,19
gayane,10
gayané,11
gaye,129
gayelord,11
gaylor,9
gaylord,54
gazi,23
gaétan,638
gaétane,21
gaël,4168
gaëla,4
gaële,32
gaëlla,9
gaëlle,1754
gaëtan,2202
gaëtane,118
gaëtano,4
gaïa,413
gaïane,4
gaïd,263
gebril,2
gedeon,45
geena,157
geffrey,6
gelindo,7
gelsomina,44
gema,66
gemma,259
gena,372
genaro,174
gene,2430
genesis,4
genevieve,44
geneviève,8698
gengis,719
genia,84
genie,1
genna,8
gennaro,204
gennifer,22
genny,35
genovefa,3
genowefa,3
genseric,2
gentiane,11
gentien,13
geoffray,19
geoffrey,2153
geoffroi,17
geoffroy,2987
geofrey,9
geordan,8
geordie,10
geordy,1
georg,3120
george,73710
georgeline,1
georges,114871
georges-alain,3
georges-alexandre,8
georges-andré,43
georges-antoine,5
georges-edouard,3
georges-emmanuel,139
georges-eric,11
georges-henri,304
georges-henry,5
georges-louis,29
georges-marie,45
georget,52
georgette,1220
georgi,254
georgia,500
georgiana,57
georgie,84
georgina,869
georgine,12
georginio,27
georgino,4
georgio,184
georgios,144
georgy,113
gerald,2660
geralda,3
geraldina,8
geraldine,294
geraldo,407
gerard,1182
gerarda,4
gerardina,1
gerardine,1
gerardo,555
geraud,10
gerd,679
gerda,257
geremi,20
geremie,1
geremy,6
gerhard,11648
gerlando,9
gerlinde,22
germaine,3091
german,769
germana,37
germanie,1
germano,129
germina,10
germinal,286
germine,2
gero,63
gerome,17
geromine,1
geronia,1
geronimo,386
gerry,2252
gersande,4
gersende,29
gerson,136
gert,436
gerta,19
gertrud,410
gertrude,1140
gerty,38
gervais,601
gervaise,192
gery,31
gesner,10
gessica,8
gessie,1
gevorg,9
geza,216
ghada,275
ghaith,23
ghalem,11
ghali,86
ghalia,50
ghanem,79
ghani,259
ghania,32
ghaouti,5
gharib,24
ghassan,773
ghassane,11
ghassen,10
ghazal,11
ghazi,1031
ghaïs,1
gheorghe,323
ghilaine,6
ghilas,6
ghiles,3
ghina,2
ghislain,765
ghislaine,1767
ghita,44
ghizlaine,2
ghizlane,38
ghizlene,1
ghjulia,1
ghjuvan,14
ghjuvanni,6
ghofrane,11
ghylaine,16
ghyslain,27
ghyslaine,59
giacinto,179
giacomina,6
giacomo,981
giada,6
gian,855
gian-carlo,74
gian-franco,15
giana,10
giancarlo,1317
gianfranco,2257
giani,74
gianina,16
gianluca,413
gianna,143
gianni,3476
giannina,17
gianny,1
giano,5
gibran,66
gibril,36
gibson,601
gideon,482
gifty,4
gigliola,55
gihad,7
gihan,13
gihane,2
gihene,1
gilbert,19515
gilberte,817
gilberto,1485
gilda,141
gildas,1187
gildo,123
gildwen,2
gilen,1
giles,194
gilette,27
gilia,2
gilian,13
giliane,1
gill,141
gille,250
gillen,2
gilles,43212
gillette,265
gillian,449
gilliane,3
gillie,2
gilmar,68
gils,3
gilson,271
gina,1243
gina-maria,2
gine,4
gines,36
ginesa,9
ginet,5
ginetta,18
ginette,1195
ginevra,108
ginger,648
ginia,4
ginna,1
ginny,46
gino,1120
ginot,4
gioacchino,86
gioconda,47
gioia,9
giordano,449
giorgi,130
giorgia,1419
giorgio,5287
giosue,4
giovan,38
giovana,17
giovane,57
giovani,100
giovanina,1
giovanna,685
giovanni,5579
giovanny,6
giovany,2
gipsy,16
girard,676
giraud,1548
girel,12
giro,11
girolamo,200
gisel,1
gisela,257
giselaine,1
giselda,4
gisele,68
gisella,6
giselle,135
gislain,2
gislaine,40
gislhain,1
gismonde,3
gisèle,3863
gita,48
gitane,106
giulia,494
giulian,1
giuliana,293
giuliano,1394
giulietta,172
giulio,2383
giuseppa,10
giuseppe,5564
giuseppina,59
giusy,2
gizele,1
gizem,3
gladis,14
glady,4
gladys,449
glaudia,1
gleb,310
glen,737
glenda,142
glenn,3209
glodi,2
gloria,1685
gloriana,26
gloriane,1
glory,16
glwadys,2
glynis,13
gnilane,1
gnima,2
goan,1
godefroi,103
godefroy,303
godelaine,1
godeleine,16
godelieve,16
godfroy,9
godric,6
godwin,167
goeffrey,9
goery,6
gohan,7
gohar,50
gokan,3
gokay,2
gokdeniz,4
gokhan,16
gokmen,2
goksel,14
golan,13
golda,525
goldie,106
golven,1
gonca,2
goncalo,1
gonthier,42
gontran,150
gontrand,5
gonul,2
gonzague,554
gonzalo,1276
gonzalve,23
gonçalo,131
gopal,72
gora,56
goran,994
gordan,44
gordana,41
gordon,7361
gorete,5
gorica,1
gorka,119
gottfried,577
gottlieb,118
goudo,4
goulam,1
goulven,83
goundo,4
govinda,4
graca,16
grace,2575
gracia,63
graciana,7
graciane,48
gracianne,1
graciano,6
gracie,93
graciela,191
graciella,6
gracien,1
gracienne,2
gracieuse,40
gracieux,109
gracinda,1
gracy,7
gradi,1
grady,80
graham,3924
graig,74
grant,1175
grat,1
gratiane,1
gratien,216
gratienne,2
grayson,57
grazia,270
graziano,179
graziela,10
graziella,314
grazielle,2
greg,4036
gregg,432
gregoire,22
gregor,887
gregori,228
gregoria,3
gregorie,1
gregorio,519
gregory,2568
greta,2100
gretchen,157
grete,229
gretel,224
gretta,33
grichka,98
grigor,192
grigori,1141
grigory,153
griselda,59
grégoire,4992
grégor,82
grégori,69
grégorie,4
grégory,4452
guadalupe,169
gualbert,2
gualter,1
gudrun,372
guelor,2
guenael,3
guenaelle,2
guenaël,4
guenaëlle,8
guendalina,20
guenia,1
guenièvre,86
guenola,1
guenole,1
gueoula,1
gueric,1
guerin,40
guerino,9
guerlain,308
guerlin,15
guerric,46
guerrino,6
guershom,3
guetty,5
guewen,3
guglielmo,322
guibert,613
guichard,2206
guida,3
guido,2764
guigner,30
guil,2
guila,10
guilain,18
guilaine,146
guilan,2
guilaume,12
guilbert,211
guilem,1
guilhaume,80
guilhem,678
guilhen,2
guilherme,126
guilhermina,4
guilhèm,2
guilia,9
guiliana,1
guiliano,22
guilio,43
guillain,161
guillaine,3
guillan,2
guillaume,27964
guillaume-alexandre,2
guillaumette,3
guillem,175
guillemette,336
guillemin,333
guillemine,3
guillen,109
guillerme,9
guillermo,2889
guillian,2
guilène,7
guimba,31
guinel,8
guiorgui,92
guirec,18
guiseppe,192
guiseppina,1
guislain,52
guislaine,224
guita,4
guive,6
gulay,4
gulbahar,47
gulcan,1
gulden,2
guler,3
gulizar,6
gulsen,1
gulsun,1
guluzar,1
gunay,3
gunes,41
guney,10
gunter,410
gunther,821
gurbet,2
gurval,8
gurvan,27
gurwal,1
gurwan,1
gurwann,1
gusta,5
gustav,2522
gustave,7126
gustavo,2906
gustin,24
gustine,2
gutemberg,12
guy-alain,13
guy-andré,300
guy-bernard,13
guy-claude,128
guy-daniel,1
guy-emmanuel,1
guy-françois,5
guy-jean,10
guy-laurent,11
guy-louis,2
guy-marc,1
guy-marie,59
guy-michel,81
guy-noël,31
guy-pierre,76
guy-rené,9
guyaume,1
guylain,17
guylaine,135
guylene,1
guylhem,12
guylène,34
guyonne,2
guyto,1
guénaël,36
guénaëlle,19
guénola,3
guénolé,58
gwanaëlle,1
gweltas,2
gweltaz,18
gwen,290
gwenael,25
gwenaele,6
gwenaelle,46
gwenal,2
gwenaël,266
gwenaële,7
gwenaëlle,253
gwenc'hlan,7
gwendael,1
gwendal,471
